name,salary,site,years,school,tags,updateTime,companyName,jobDemand,companyInfo,address,url
python开发,6-10K,石家庄,3-5年,本科,"[""Python""]",更新于：2020-11-21,石家庄天远科技集团,"[""岗位职责："", ""1、负责应用图像处理、深度学习等技术进行相关算法的研发及应用实现；"", ""2、进行数据处理，模型评估及应用部署。"", ""任职要求："", ""1精通python，能使用Python进行大数据分析、模型优化和服务发布"", ""2熟悉常用机器学习算法（如逻辑回归、神经网络、决策树、贝叶斯等)并有一定的项目实践经验。"", ""3有两年以上大数据挖掘、分析经验，有成功的项目应用经验"", ""4掌握Hadoop、Spark中至少一种大数据管理技术，阅读过源代码者优先。"", ""5了解设计模式、常用数据结构和相关算法"", ""6工作细致认真，代码和界面工整、规范，对技术有热情，有团队合作精神"", ""7有良好的沟通协调能力，能积极主动面对研发任务；"", ""8善于倾听用户业务需求，关注用户体验，对可用性、可访问性等相关知识有实际的了解和实践；""]","石家庄天远科技集团有限公司，成立于1992年5月12日，办公及经营场地约40000平米，员工1000余人，总部位于石家庄东开发区黄河大道225号，集团下设子公司，合资公司共计30余家，年营业额18亿元人民币；业务涉及两大版块：工程机械及互联网。
科技版块集团依托于工程机械版块的销售和服务体系",石家庄市裕华区石家庄天远科技集团有限公司黄河大道225号,/job_detail/c32d3a24f9ec87263nFz09i_EFo~.html
Python开发,8-13K·15薪,济南,1-3年,本科,"[""Python"", ""Django"", ""Flask"", ""网络安全""]",更新于：2020-11-20,浪潮集团,"[""1、熟练使用flask和Django框架"", ""2、2年以上工作经验"", ""3、能够熟练编写Python脚本"", ""4、全日制本科毕业"", ""5、有自动化产品开发经验优先"", ""6、对网络安全有一定认识者优先""]","浪潮集团是中国本土综合实力最强的大型IT企业之一，国内领先的云计算领导厂商，先进的信息科技产品与解决方案服务商。浪潮集团旗下拥有浪潮信息、浪潮软件和浪潮国际三家上市公司，业务涵盖系统与技术、软件与服务、半导体三大产业群组，为全球八十多个国家和地区提供IT产品和服务。
浪潮集团居2008年度中国大企",济南历城区浪潮云计算中心(东门),/job_detail/32aa8a139bdae9b433172du9GFc~.html
python开发工程师,10-15K,北京,1-3年,本科,"[""Python""]",更新于：2020-11-20,北京纬创,"[""【任职要求】"", ""有3年以上Python开发经验，熟悉python数据分析类库，有numpy、pandas使用经验；"", ""熟悉python的RestfulAPI常用框架，及Pythonweb框架如：Django、Tornado、Flask；"", ""熟悉Linux系统，熟悉常用爬虫框架,如Scrapy,webmagic等。""]","纬创软件是亚洲地区专业的软件外包服务及信息整合服务的领导厂商，我们专注于技术顾问服务、软件外包服务、业务流程外包服务、以及产品全球化服务，全球有14个营业据点，客户包括世界500强企业以及跨国知名企业。
纬创软件的主要服务项目包括：技术顾问服务、软件外包服务、业务流程外包服务、及产品全球化服务。我",北京市昌平区泰康商学院1,/job_detail/9a14e746484c69250HN80tq1EVQ~.html
Python开发工程师,6-11K,广州,1-3年,本科,"[""Python""]",更新于：2020-11-20,公瑾科技,"[""岗位职责："", ""1、根据产品需求独立开发或参与产品的需求分析、模块设计、编码等工作，实现开发需求；"", ""2、根据开发过程中的体验对产品提出建议，积极参与产品、功能与技术的改进。"", ""岗位要求："", ""1、正规院校本科及以上学历，软件、计算机、通信、信息安全、网络工程、财税等相关专业，至少1年以上Python开发经验；"", ""2、熟悉Python编程语言，熟悉常用的设计模式、对多线程编程有一定的了解；"", ""3、熟悉各个不同版本Python的特点、差异，对软件性能优化、内存优化有一定的了解；"", ""4、熟悉抓取原理及技术，熟悉Scrapy、Pyspider、nutch等主流爬虫框架使用；"", ""5、熟悉MySQL关系数据库,；"", ""6、能独立开发，具有良好的分析问题和解决问题的能力，在关注的领域有深入的研究，并不断创新，对新技术有强烈的求知欲望，乐于钻研，善于分享。""]","慧算账隶属于北京公瑾科技有限公司，成立于2015年4月，是中国一体化企业财税服务平台，为中小微企业提供包括代理记账、工商服务、出口退税、税务审计、税务筹划等专业高效的一体化财税服务。
基于企业客户的认可与信赖，截至2019年7月，慧算账已在北京、上海、广州、深圳、重庆、天津、济南、杭州等",广州市天河区车陂大岗工业区第6幢6201,/job_detail/ffcaeb4745911cc70Hx92tm4EVo~.html
金融云Python开发工程师,12-20K·16薪,重庆,1-3年,本科,"[""Python""]",更新于：2020-11-18,腾讯,"[""岗位职责："", ""1.负责金融云管理平台开发，负责云自动化集成平台开发"", ""2、撰写技术支持文档或功能使用文档，配合新产品测试，提供测试反馈；"", ""岗位要求"", ""1.本科以上学历，3年以上开发经验"", ""2.熟悉Linux系统管理维护，熟悉HTTP协议、TCP/IP网络协议；"", ""3.熟练使用shell脚本语言，以及Python开发语言"", ""4.具备良好的合作精神和快速学习能力；"", ""5.熟悉uwsgi+flask服务框架，熟悉Nginx，mysql等中间件"", ""6.有云平台运维经验者优先（阿里云、AWS等）、有持续集成及持续部署相关开发经验者优先""]","*（有兴趣的同学可以直接发送简历提高效率，看到即回复）
腾讯以技术丰富互联网用户的生活。
通过通信及社交平台微信和QQ促进用户联系，并助其连接数字内容和生活服务，尽在弹指间。
通过高效广告平台，协助品牌和市场营销者触达数以亿计的中国消费者。
通过金融科技及企业服务，促进合作伙伴业务发展，助力实",重庆市渝北区重庆涉外商务区,/job_detail/9cf975f3cdd82ab71nV629i4E1JX.html
